total_bill,tip,sex,smoker,day,time,size,tip_percentage,bill_category,bill_category
16.66,3.4,Male,No,Thur,Lunch,2,20.408163265306122,Medium,Medium
10.07,1.83,Female,No,Thur,Lunch,1,18.17279046673287,Low,Low
32.68,5.0,Male,Yes,Thur,Lunch,2,15.299877600979192,High,High
15.98,2.03,Male,No,Thur,Lunch,2,12.703379224030037,Medium,Medium
34.83,5.17,Female,No,Thur,Lunch,4,14.843525696238874,High,High
13.03,2.0,Male,No,Thur,Lunch,2,15.349194167306218,Low,Low
18.28,4.0,Male,No,Thur,Lunch,2,21.88183807439825,Medium,Medium
24.71,5.85,Male,No,Thur,Lunch,2,23.674625657628486,Medium,Medium
21.16,3.0,Male,No,Thur,Lunch,2,14.177693761814744,Medium,Medium
28.97,3.0,Male,Yes,Fri,Dinner,2,10.355540214014498,High,High
22.49,3.5,Male,No,Fri,Dinner,2,15.562472209871055,Medium,Medium
5.75,1.0,Female,Yes,Fri,Dinner,2,17.391304347826086,Low,Low
16.32,4.3,Female,Yes,Fri,Dinner,2,26.348039215686274,Medium,Medium
22.75,3.25,Female,No,Fri,Dinner,2,14.285714285714285,Medium,Medium
40.17,4.73,Male,Yes,Fri,Dinner,4,11.77495643515061,High,High
27.28,4.0,Male,Yes,Fri,Dinner,2,14.662756598240467,High,High
12.03,1.5,Male,Yes,Fri,Dinner,2,12.468827930174564,Low,Low
21.01,3.0,Male,Yes,Fri,Dinner,2,14.27891480247501,Medium,Medium
12.46,1.5,Male,No,Fri,Dinner,2,12.03852327447833,Low,Low
11.35,2.5,Female,Yes,Fri,Dinner,2,22.026431718061676,Low,Low
15.38,3.0,Female,Yes,Fri,Dinner,2,19.505851755526656,Medium,Medium
44.3,2.5,Female,Yes,Sat,Dinner,3,5.643340857787811,High,High
22.42,3.48,Female,Yes,Sat,Dinner,2,15.521855486173058,Medium,Medium
20.92,4.08,Female,No,Sat,Dinner,2,19.50286806883365,Medium,Medium
15.36,1.64,Male,Yes,Sat,Dinner,2,10.677083333333332,Medium,Medium
20.49,4.06,Male,Yes,Sat,Dinner,2,19.814543679843826,Medium,Medium
25.21,4.29,Male,Yes,Sat,Dinner,2,17.017056723522412,High,High
18.24,3.76,Male,No,Sat,Dinner,2,20.614035087719298,Medium,Medium
14.31,4.0,Female,Yes,Sat,Dinner,2,27.952480782669458,Low,Low
14.0,3.0,Male,No,Sat,Dinner,2,21.428571428571427,Low,Low
7.25,1.0,Female,No,Sat,Dinner,1,13.793103448275861,Low,Low
38.07,4.0,Male,No,Sun,Dinner,3,10.506960861570791,High,High
23.95,2.55,Male,No,Sun,Dinner,2,10.647181628392484,Medium,Medium
25.71,4.0,Female,No,Sun,Dinner,3,15.558148580318942,High,High
17.31,3.5,Female,No,Sun,Dinner,2,20.219526285384173,Medium,Medium
29.93,5.07,Male,No,Sun,Dinner,4,16.93952555963916,High,High
10.65,1.5,Female,No,Thur,Lunch,2,14.084507042253522,Low,Low
12.43,1.8,Female,No,Thur,Lunch,2,14.481094127111827,Low,Low
24.08,2.92,Female,No,Thur,Lunch,4,12.12624584717608,Medium,Medium
11.69,2.31,Male,No,Thur,Lunch,2,19.760479041916167,Low,Low
13.42,1.68,Female,No,Thur,Lunch,2,12.518628912071533,Low,Low
14.26,2.5,Male,No,Thur,Lunch,2,17.53155680224404,Low,Low
15.95,2.0,Male,No,Thur,Lunch,2,12.539184952978058,Medium,Medium
12.48,2.52,Female,No,Thur,Lunch,2,20.192307692307693,Low,Low
29.8,4.2,Female,No,Thur,Lunch,6,14.093959731543624,High,High
8.52,1.48,Male,No,Thur,Lunch,2,17.370892018779344,Low,Low
14.52,2.0,Female,No,Thur,Lunch,2,13.774104683195592,Low,Low
11.38,2.0,Female,No,Thur,Lunch,2,17.57469244288225,Low,Low
22.82,2.18,Male,No,Thur,Lunch,3,9.55302366345311,Medium,Medium
19.08,1.5,Male,No,Thur,Lunch,2,7.8616352201257875,Medium,Medium
20.27,2.83,Female,No,Thur,Lunch,2,13.961519486926493,Medium,Medium
11.17,1.5,Female,No,Thur,Lunch,2,13.428827215756492,Low,Low
12.26,2.0,Female,No,Thur,Lunch,2,16.31321370309951,Low,Low
18.26,3.25,Female,No,Thur,Lunch,2,17.798466593647316,Medium,Medium
8.51,1.25,Female,No,Thur,Lunch,2,14.688601645123384,Low,Low
10.33,2.0,Female,No,Thur,Lunch,2,19.36108422071636,Low,Low
14.15,2.0,Female,No,Thur,Lunch,2,14.13427561837456,Low,Low
16.0,2.0,Male,Yes,Thur,Lunch,2,12.5,Medium,Medium
13.16,2.75,Female,No,Thur,Lunch,2,20.89665653495441,Low,Low
17.47,3.5,Female,No,Thur,Lunch,2,20.034344590726963,Medium,Medium
34.3,6.7,Male,No,Thur,Lunch,6,19.533527696793005,High,High
41.19,5.0,Male,No,Thur,Lunch,5,12.138868657441128,High,High
27.05,5.0,Female,No,Thur,Lunch,6,18.484288354898336,High,High
16.43,2.3,Female,No,Thur,Lunch,2,13.998782714546559,Medium,Medium
8.35,1.5,Female,No,Thur,Lunch,2,17.964071856287426,Low,Low
18.64,1.36,Female,No,Thur,Lunch,3,7.296137339055794,Medium,Medium
11.87,1.63,Female,No,Thur,Lunch,2,13.732097725358045,Low,Low
9.78,1.73,Male,No,Thur,Lunch,2,17.68916155419223,Low,Low
7.51,2.0,Male,No,Thur,Lunch,2,26.63115845539281,Low,Low
14.07,2.5,Male,No,Sun,Dinner,2,17.768301350390903,Low,Low
13.13,2.0,Male,No,Sun,Dinner,2,15.232292460015232,Low,Low
17.26,2.74,Male,No,Sun,Dinner,3,15.874855156431053,Medium,Medium
24.55,2.0,Male,No,Sun,Dinner,4,8.146639511201629,Medium,Medium
19.77,2.0,Male,No,Sun,Dinner,4,10.116337885685383,Medium,Medium
29.85,5.14,Female,No,Sun,Dinner,5,17.219430485762143,High,High
48.17,5.0,Male,No,Sun,Dinner,6,10.379904504878555,High,High
25.0,3.75,Female,No,Sun,Dinner,4,15.0,Medium,Medium
13.39,2.61,Female,No,Sun,Dinner,2,19.49215832710978,Low,Low
16.49,2.0,Male,No,Sun,Dinner,4,12.128562765312312,Medium,Medium
21.5,3.5,Male,No,Sun,Dinner,4,16.27906976744186,Medium,Medium
12.66,2.5,Male,No,Sun,Dinner,2,19.747235387045812,Low,Low
16.21,2.0,Female,No,Sun,Dinner,3,12.338062924120912,Medium,Medium
13.81,2.0,Male,No,Sun,Dinner,2,14.482259232440258,Low,Low
17.51,3.0,Female,Yes,Sun,Dinner,2,17.133066818960593,Medium,Medium
24.52,3.48,Male,No,Sun,Dinner,3,14.192495921696574,Medium,Medium
20.76,2.24,Male,No,Sun,Dinner,2,10.789980732177264,Medium,Medium
31.71,4.5,Male,No,Sun,Dinner,4,14.191106906338694,High,High
10.59,1.61,Female,Yes,Sat,Dinner,2,15.203021718602455,Low,Low
10.63,2.0,Female,Yes,Sat,Dinner,2,18.814675446848543,Low,Low
50.81,10.0,Male,Yes,Sat,Dinner,3,19.681165124975397,High,High
15.81,3.16,Male,Yes,Sat,Dinner,2,19.987349778621127,Medium,Medium
7.25,5.15,Male,Yes,Sun,Dinner,2,71.0344827586207,Low,Low
31.85,3.18,Male,Yes,Sun,Dinner,2,9.98430141287284,High,High
16.82,4.0,Male,Yes,Sun,Dinner,2,23.781212841854934,Medium,Medium
32.9,3.11,Male,Yes,Sun,Dinner,2,9.45288753799392,High,High
17.89,2.0,Male,Yes,Sun,Dinner,2,11.179429849077696,Medium,Medium
14.48,2.0,Male,Yes,Sun,Dinner,2,13.812154696132598,Low,Low
9.6,4.0,Female,Yes,Sun,Dinner,2,41.66666666666667,Low,Low
34.63,3.55,Male,Yes,Sun,Dinner,2,10.2512272596015,High,High
34.65,3.68,Male,Yes,Sun,Dinner,4,10.620490620490623,High,High
23.33,5.65,Male,Yes,Sun,Dinner,2,24.21774539219889,Medium,Medium
45.35,3.5,Male,Yes,Sun,Dinner,3,7.717750826901875,High,High
23.17,6.5,Male,Yes,Sun,Dinner,4,28.05351747949935,Medium,Medium
40.55,3.0,Male,Yes,Sun,Dinner,2,7.398273736128237,High,High
20.69,5.0,Male,No,Sun,Dinner,5,24.166263895601737,Medium,Medium
20.9,3.5,Female,Yes,Sun,Dinner,3,16.74641148325359,Medium,Medium
30.46,2.0,Male,Yes,Sun,Dinner,5,6.5659881812212735,High,High
18.15,3.5,Female,Yes,Sun,Dinner,3,19.28374655647383,Medium,Medium
23.1,4.0,Male,Yes,Sun,Dinner,3,17.316017316017316,Medium,Medium
15.69,1.5,Male,Yes,Sun,Dinner,2,9.560229445506693,Medium,Medium
19.81,4.19,Female,Yes,Thur,Lunch,2,21.150933871781934,Medium,Medium
28.44,2.56,Male,Yes,Thur,Lunch,2,9.0014064697609,High,High
15.48,2.02,Male,Yes,Thur,Lunch,2,13.049095607235142,Medium,Medium
16.58,4.0,Male,Yes,Thur,Lunch,2,24.12545235223161,Medium,Medium
7.56,1.44,Male,No,Thur,Lunch,2,19.047619047619047,Low,Low
10.34,2.0,Male,Yes,Thur,Lunch,2,19.342359767891683,Low,Low
43.11,5.0,Female,Yes,Thur,Lunch,4,11.59823706796567,High,High
13.0,2.0,Female,Yes,Thur,Lunch,2,15.384615384615385,Low,Low
13.51,2.0,Male,Yes,Thur,Lunch,2,14.803849000740193,Low,Low
18.71,4.0,Male,Yes,Thur,Lunch,3,21.378941742383752,Medium,Medium
12.74,2.01,Female,Yes,Thur,Lunch,2,15.777080062794347,Low,Low
13.0,2.0,Female,Yes,Thur,Lunch,2,15.384615384615385,Low,Low
16.4,2.5,Female,Yes,Thur,Lunch,2,15.243902439024392,Medium,Medium
20.53,4.0,Male,Yes,Thur,Lunch,4,19.48368241597662,Medium,Medium
16.47,3.23,Female,Yes,Thur,Lunch,3,19.611414693381906,Medium,Medium
26.59,3.41,Male,Yes,Sat,Dinner,3,12.82437006393381,High,High
38.73,3.0,Male,Yes,Sat,Dinner,4,7.74593338497289,High,High
24.27,2.03,Male,Yes,Sat,Dinner,2,8.364235681911826,Medium,Medium
12.76,2.23,Female,Yes,Sat,Dinner,2,17.476489028213166,Low,Low
30.06,2.0,Male,Yes,Sat,Dinner,3,6.653359946773121,High,High
25.89,5.16,Male,Yes,Sat,Dinner,4,19.930475086906142,High,High
48.33,9.0,Male,No,Sat,Dinner,4,18.6219739292365,High,High
13.27,2.5,Female,Yes,Sat,Dinner,2,18.839487565938207,Low,Low
28.17,6.5,Female,Yes,Sat,Dinner,3,23.074192403265883,High,High
12.9,1.1,Female,Yes,Sat,Dinner,2,8.527131782945736,Low,Low
28.15,3.0,Male,Yes,Sat,Dinner,5,10.657193605683837,High,High
11.59,1.5,Male,Yes,Sat,Dinner,2,12.94219154443486,Low,Low
7.74,1.44,Male,Yes,Sat,Dinner,2,18.6046511627907,Low,Low
30.14,3.09,Female,Yes,Sat,Dinner,4,10.252156602521566,High,High
12.16,2.2,Male,Yes,Fri,Lunch,2,18.092105263157894,Low,Low
13.42,3.48,Female,Yes,Fri,Lunch,2,25.93144560357675,Low,Low
8.58,1.92,Male,Yes,Fri,Lunch,1,22.377622377622377,Low,Low
15.98,3.0,Female,No,Fri,Lunch,3,18.773466833541928,Medium,Medium
13.42,1.58,Male,Yes,Fri,Lunch,2,11.773472429210134,Low,Low
16.27,2.5,Female,Yes,Fri,Lunch,2,15.365703749231715,Medium,Medium
10.09,2.0,Female,Yes,Fri,Lunch,2,19.821605550049554,Low,Low
20.45,3.0,Male,No,Sat,Dinner,4,14.66992665036675,Medium,Medium
13.28,2.72,Male,No,Sat,Dinner,2,20.481927710843376,Low,Low
22.12,2.88,Female,Yes,Sat,Dinner,2,13.019891500904157,Medium,Medium
24.01,2.0,Male,Yes,Sat,Dinner,4,8.329862557267804,Medium,Medium
15.69,3.0,Male,Yes,Sat,Dinner,3,19.120458891013385,Medium,Medium
11.61,3.39,Male,No,Sat,Dinner,2,29.198966408268735,Low,Low
10.77,1.47,Male,No,Sat,Dinner,2,13.649025069637883,Low,Low
15.53,3.0,Male,Yes,Sat,Dinner,2,19.31745009658725,Medium,Medium
10.07,1.25,Male,No,Sat,Dinner,2,12.413108242303872,Low,Low
12.6,1.0,Male,Yes,Sat,Dinner,2,7.936507936507936,Low,Low
32.83,1.17,Male,Yes,Sat,Dinner,2,3.563813585135547,High,High
35.83,4.67,Female,No,Sat,Dinner,3,13.033770583310075,High,High
29.03,5.92,Male,No,Sat,Dinner,3,20.39269720978298,High,High
27.18,2.0,Female,Yes,Sat,Dinner,2,7.358351729212656,High,High
22.67,2.0,Male,Yes,Sat,Dinner,2,8.822232024702249,Medium,Medium
17.82,1.75,Male,No,Sat,Dinner,2,9.820426487093153,Medium,Medium
18.78,3.0,Female,No,Thur,Dinner,2,15.974440894568689,Medium,Medium
