total_bill,tip,sex,smoker,day,time,size,tip_percentage,bill_category
13.27,2.5,Female,Yes,Sat,Dinner,2,18.84,Low
28.17,6.5,Female,Yes,Sat,Dinner,3,23.07,High
12.9,1.1,Female,Yes,Sat,Dinner,2,8.53,Low
28.15,3.0,Male,Yes,Sat,Dinner,5,10.66,High
11.59,1.5,Male,Yes,Sat,Dinner,2,12.94,Low
7.74,1.44,Male,Yes,Sat,Dinner,2,18.6,Low
30.14,3.09,Female,Yes,Sat,Dinner,4,10.25,High
12.16,2.2,Male,Yes,Fri,Lunch,2,18.09,Low
13.42,3.48,Female,Yes,Fri,Lunch,2,25.93,Low
8.58,1.92,Male,Yes,Fri,Lunch,1,22.38,Low
15.98,3.0,Female,No,Fri,Lunch,3,18.77,Medium
13.42,1.58,Male,Yes,Fri,Lunch,2,11.77,Low
16.27,2.5,Female,Yes,Fri,Lunch,2,15.37,Medium
10.09,2.0,Female,Yes,Fri,Lunch,2,19.82,Low
20.45,3.0,Male,No,Sat,Dinner,4,14.67,Medium
13.28,2.72,Male,No,Sat,Dinner,2,20.48,Low
22.12,2.88,Female,Yes,Sat,Dinner,2,13.02,Medium
24.01,2.0,Male,Yes,Sat,Dinner,4,8.33,Medium
15.69,3.0,Male,Yes,Sat,Dinner,3,19.12,Medium
11.61,3.39,Male,No,Sat,Dinner,2,29.2,Low
10.77,1.47,Male,No,Sat,Dinner,2,13.65,Low
15.53,3.0,Male,Yes,Sat,Dinner,2,19.32,Medium
10.07,1.25,Male,No,Sat,Dinner,2,12.41,Low
12.6,1.0,Male,Yes,Sat,Dinner,2,7.94,Low
32.83,1.17,Male,Yes,Sat,Dinner,2,3.56,High
35.83,4.67,Female,No,Sat,Dinner,3,13.03,High
29.03,5.92,Male,No,Sat,Dinner,3,20.39,High
27.18,2.0,Female,Yes,Sat,Dinner,2,7.36,High
22.67,2.0,Male,Yes,Sat,Dinner,2,8.82,Medium
17.82,1.75,Male,No,Sat,Dinner,2,9.82,Medium
18.78,3.0,Female,No,Thur,Dinner,2,15.97,Medium
