id,drive,acceleration,topspeed,electricrange,totalpower,totaltorque,batterycapacity,chargespeed,length,width,height,wheelbase,grossweight
1480,Rear,8.5,185,305,125,350,58,53,4680,1880,1550,2900,2340
1671,AWD,5.8,180,435,258,580,98.7,45,4713,1881,1624,2984,2690
1473,AWD,4.6,200,505,385,765,111.5,45,4953,1967,1696,3000,3145
1153,AWD,3.3,250,405,475,830,93.4,45,4990,1960,1410,2900,2860
1538,Rear,6.4,210,525,215,565,100,54,4946,1906,1492,3120,2880
1747,AWD,4.9,200,355,405,750,99,37,5209,2010,1731,3110,3180
1609,Front,12.1,130,175,100,260,50,24,4959,1920,1890,3275,3015
1627,Rear,10.4,160,410,128,235,82,50,4584,1852,1640,2771,2660
1518,Rear,7,160,450,170,310,82,55,4322,1809,1540,2766,2300
1621,Rear,5.4,230,380,300,345,79.2,50,4963,1966,1405,2900,2770
1251,Front,7.5,160,235,150,300,54.3,29,4495,1840,1545,2640,2245
1164,Front,11.4,135,315,80,225,54.7,110,4087,1787,1562,2588,1988
1437,AWD,4.1,240,425,420,650,93.4,47,4974,1967,1409,2904,2885
1393,Rear,5.4,230,410,300,345,79.2,54,4963,1966,1395,2900,2795
1663,AWD,5.1,185,385,239,605,77.4,49,4635,1890,1605,3000,2560
1523,Front,11.7,135,195,100,260,50,27,4753,1921,1882,2975,2455
1315,Front,13.1,160,305,150,362,100,32,5370,1928,1901,3430,3500
1705,Front,19.1,125,155,33,125,26.8,35,3734,1622,1516,2423,1300
1439,AWD,2.9,250,385,560,1050,93.4,43,4974,1967,1409,2904,2880
1515,Front,13.1,130,260,100,260,75,24,5306,1920,1890,3275,3100
1629,Rear,8.7,160,445,150,310,82,54,4653,1879,1617,2765,2600
1652,AWD,4.2,210,485,350,476,100,50,4946,1906,1492,3120,3095
1680,Front,9.7,140,170,107,271,35.5,53,4395,1848,1555,2655,2119
1328,Front,9,150,235,87,220,42,59,3631,1683,1529,2322,1725
1357,Front,8.9,155,270,120,300,52,29,4385,1850,1650,2655,2065
1591,AWD,4.4,233,485,366,493,82,60,4694,1849,1443,2875,2232
1355,AWD,5.7,200,365,300,664,95,39,4901,1935,1616,2928,3140
1626,AWD,2.8,260,395,560,1050,93.4,44,4963,1966,1390,2900,2870
1720,AWD,6.9,180,400,195,425,82,49,4588,1865,1614,2764,2715
1472,AWD,6.1,200,360,240,630,76.6,47,4953,1967,1695,3000,3010
1420,AWD,4.1,245,420,390,640,93.4,46,4990,1960,1410,2900,2840
1352,Front,13.1,130,175,100,260,50,24,5309,1920,1877,3275,3030
1558,AWD,6.3,180,405,220,460,82,49,4599,1852,1615,2771,2750
1601,Front,12.1,130,175,100,260,50,24,5306,1920,1890,3275,2965
1619,AWD,5,217,435,378,493,82,54,4751,1921,1624,2890,2619
1607,Front,14.3,130,265,100,260,75,25,4956,1920,1890,3275,3100
1622,Rear,5.4,230,445,350,357,93.4,50,4963,1966,1404,2900,2770
1702,AWD,6.9,180,405,195,425,82,49,4584,1852,1631,2771,2750
1275,Front,9,150,230,87,220,42,58,3631,1683,1529,2322,1730
1491,AWD,6.2,180,385,220,460,82,47,4588,1865,1632,2764,2720
1532,Rear,7.3,160,350,150,310,62,56,4261,1809,1568,2771,2270
1714,Rear,6.4,210,515,215,565,100,54,4946,1906,1492,3120,2880
1586,Front,9.2,150,255,100,260,50,36,4151,1790,1525,2557,2015
1521,Front,7.4,160,360,160,300,60,110,4200,1768,1505,2685,2158
1287,AWD,4.8,200,380,294,696,90,42,4682,2011,1565,2990,2670
1756,AWD,5.8,180,440,258,580,98.7,45,4713,1881,1624,2984,2690
1344,Front,13.3,130,260,100,260,75,24,5308,1920,1890,3275,3100
1183,AWD,3.7,250,415,393,660,82,52,4751,1921,1624,2890,2634
1598,Front,13.3,130,260,100,260,75,24,5308,1920,1890,3275,3100
1564,Front,7.5,160,375,150,265,75,29,4690,1860,1600,2850,2195
1661,AWD,6.8,190,295,230,540,71,43,4901,1935,1616,2928,3040
1483,Rear,6.2,210,640,245,568,120,56,5216,1926,1512,3210,2945
1354,Front,14.3,130,260,100,260,75,24,5308,1920,1890,3275,3100
1238,AWD,4,250,460,420,650,93.4,51,4963,1966,1379,2900,2880
1600,Front,12.1,130,180,100,260,50,25,4956,1920,1890,3275,2950
1205,Front,9.5,140,310,100,245,54.7,110,4087,1787,1562,2588,1988
1585,Front,8.1,150,285,100,260,50,40,4060,1765,1433,2538,1920
1341,Front,12.1,130,180,100,260,50,25,4956,1920,1890,3275,2950
1724,Front,13.3,130,260,100,260,75,24,5306,1920,1890,3275,3065
1561,AWD,3.7,250,425,440,850,93.4,47,4963,1966,1391,2900,2875
1517,Rear,6.6,160,345,170,310,62,56,4322,1809,1540,2766,2260
1676,AWD,4.7,240,510,400,745,105,47,5391,1950,1544,3215,3250
1597,Front,13.3,130,265,100,260,75,25,4956,1920,1890,3275,3100
1487,Front,7.4,160,425,170,330,78,53,4607,1800,1479,2735,2490
1356,AWD,5.7,200,380,300,664,95,41,4901,1935,1616,2928,3140
1722,Front,13.3,130,265,100,260,75,25,4956,1920,1890,3275,3060
1528,Rear,8.5,160,425,150,310,82,52,4588,1865,1614,2764,2625
1494,AWD,6.2,180,400,220,460,82,49,4584,1852,1631,2771,2750
1623,AWD,4,250,370,390,640,79.2,49,4963,1966,1390,2900,2875
1559,AWD,8,160,330,168,390,69.7,46,4684,1834,1701,2829,2580
1664,Front,9.2,160,345,140,385,69.7,49,4684,1834,1673,2829,2520
1757,AWD,4.4,200,425,358,860,98.7,44,4743,1881,1613,2984,2717
1409,Front,7.3,150,180,135,270,32.6,58,3850,1727,1432,2495,1775
1620,AWD,3.3,261,460,377,660,82,57,4694,1849,1443,2875,2232
1699,AWD,5.6,210,615,265,800,120,53,5216,1926,1512,3210,3060
1343,Front,13.3,130,265,100,260,75,25,4956,1920,1890,3275,3100
1746,AWD,6.5,200,305,320,600,84,37,5209,2010,1731,3110,3130
1753,Rear,6.9,180,355,198,430,75.7,47,4713,1881,1624,2984,2555
1519,AWD,3.9,225,435,400,795,83.9,50,4783,1852,1448,2856,2735
1603,Front,13.3,130,260,100,260,75,24,5306,1920,1890,3275,3100
1567,AWD,6.9,160,355,160,336,75,28,4690,1860,1650,2850,2550
1755,AWD,6.3,180,345,198,580,75.7,46,4713,1881,1624,2984,2640
1171,Rear,9,145,170,100,315,35.5,33,3894,1752,1512,2538,1855
1394,Rear,5.4,230,475,350,357,93.4,53,4963,1966,1394,2900,2795
1557,Rear,8.4,160,430,150,310,82,52,4599,1852,1615,2771,2540
1116,AWD,2.8,260,400,560,1050,93.4,45,4963,1966,1378,2900,2870
1533,Rear,7.9,160,450,150,310,82,55,4261,1809,1568,2771,2280
1547,Front,11.7,135,195,100,260,50,27,4753,1921,1849,2975,2440
1492,AWD,6.2,180,400,220,460,82,49,4588,1865,1614,2764,2715
1353,Front,14.3,130,265,100,260,75,25,4956,1920,1890,3275,3100
